bootcamp_name,course,location,rating,financing_option,ISA,topics,next_batch,cost,website,logo_url
Le Wagon,Web Development,Munich,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,900 €",https://www.lewagon.com/munich/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Milan,4.98,No,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,500 €",https://www.lewagon.com/milan/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Milan,4.98,No,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,500 €",https://www.lewagon.com/milan/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Mexico,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,200 USD",https://www.lewagon.com/mexico/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Mexico,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","5,700 USD",https://www.lewagon.com/mexico/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Marseille,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,000 €",https://www.lewagon.com/marseille/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Marseille,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,000 €",https://www.lewagon.com/marseille/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Mauritius,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Sep 12, 2022",,https://www.lewagon.com/mauritius/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Melbourne,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 3, 2022","12,500 AUD",https://www.lewagon.com/melbourne/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Mauritius,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Sep 12, 2022",,https://www.lewagon.com/mauritius/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Software Development,Melbourne,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 3, 2022","12,000 AUD",https://www.lewagon.com/melbourne/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Madrid,4.98,Yes,Yes,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,500 €",https://www.lewagon.com/madrid/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Madrid,4.98,Yes,Yes,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,500 €",https://www.lewagon.com/madrid/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Lyon,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,000 €",https://www.lewagon.com/lyon/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,London,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","£6,500",https://www.lewagon.com/london/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Lyon,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,000 €",https://www.lewagon.com/lyon/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,London,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","£6,900",https://www.lewagon.com/london/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Lima,4.98,No,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","5,500 USD",https://www.lewagon.com/lima/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Lisbon,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022",,https://www.lewagon.com/lisbon/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Lima,4.98,No,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Aug 22, 2022","6,000 USD",https://www.lewagon.com/lima/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Lisbon,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022",,https://www.lewagon.com/lisbon/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Lille,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,000 €",https://www.lewagon.com/lille/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Lille,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,000 €",https://www.lewagon.com/lille/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Brussels,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,500 €",https://www.lewagon.com/brussels/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Lausanne,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","8,500 CHF",https://www.lewagon.com/lausanne/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Bordeaux,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,000 €",https://www.lewagon.com/bordeaux/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Berlin,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,900 €",https://www.lewagon.com/berlin/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Barcelona,4.98,Yes,Yes,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,500 €",https://www.lewagon.com/barcelona/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Lausanne,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","7,900 CHF",https://www.lewagon.com/lausanne/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Brussels,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,900 €",https://www.lewagon.com/brussels/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Bordeaux,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,000 €",https://www.lewagon.com/bordeaux/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Bali,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 3, 2022","7,000 USD",https://www.lewagon.com/bali/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Amsterdam,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,900 €",https://www.lewagon.com/amsterdam/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Berlin,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,900 €",https://www.lewagon.com/berlin/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Bali,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 3, 2022","7,000 USD",https://www.lewagon.com/bali/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Barcelona,4.98,Yes,Yes,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,500 €",https://www.lewagon.com/barcelona/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Amsterdam,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,500 €",https://www.lewagon.com/amsterdam/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
